miRNA	precursor
miR-3617-5p	mir-3617
miR-3617-3p	mir-3617
miR-3619-5p	mir-3619
miR-3619-3p	mir-3619
miR-3620-5p	mir-3620
miR-3620-3p	mir-3620
miR-3622a-5p	mir-3622a
miR-3622a-3p	mir-3622a
miR-3622b-5p	mir-3622b
miR-3622b-3p	mir-3622b
miR-3663-5p	mir-3663
miR-3663-3p	mir-3663
miR-3664-5p	mir-3664
miR-3664-3p	mir-3664
miR-3667-5p	mir-3667
miR-3667-3p	mir-3667
miR-3675-5p	mir-3675
miR-3675-3p	mir-3675
miR-3677-5p	mir-3677
miR-3677-3p	mir-3677
miR-3678-5p	mir-3678
miR-3678-3p	mir-3678
miR-3679-5p	mir-3679
miR-3679-3p	mir-3679
miR-3680-5p	mir-3680-2,mir-3680-1
miR-3680-3p	mir-3680-2,mir-3680-1
miR-3681-5p	mir-3681
miR-3681-3p	mir-3681
miR-3682-5p	mir-3682
miR-3682-3p	mir-3682
miR-3688-5p	mir-3688-1,mir-3688-2
miR-3688-3p	mir-3688-1,mir-3688-2
miR-3689a-5p	mir-3689a
miR-3689a-3p	mir-3689a
miR-3691-5p	mir-3691
miR-3691-3p	mir-3691
miR-3692-5p	mir-3692
miR-3692-3p	mir-3692
miR-3689b-5p	mir-3689b
miR-3689b-3p	mir-3689b
miR-3912-5p	mir-3912
miR-3912-3p	mir-3912
miR-3913-5p	mir-3913-1,mir-3913-2
miR-3913-3p	mir-3913-1,mir-3913-2
miR-3150b-5p	mir-3150b
miR-3150b-3p	mir-3150b
miR-3922-5p	mir-3922
miR-3922-3p	mir-3922
miR-3925-5p	mir-3925
miR-3925-3p	mir-3925
miR-3927-5p	mir-3927
miR-3927-3p	mir-3927
miR-676-5p	mir-676
miR-676-3p	mir-676
miR-3928-5p	mir-3928
miR-3928-3p	mir-3928
miR-3934-5p	mir-3934
miR-3934-3p	mir-3934
miR-3940-5p	mir-3940
miR-3940-3p	mir-3940
miR-3942-5p	mir-3942
miR-3942-3p	mir-3942
miR-3944-5p	mir-3944
miR-3944-3p	mir-3944
miR-374c-5p	mir-374c
miR-374c-3p	mir-374c
miR-642b-5p	mir-642b
miR-642b-3p	mir-642b
miR-550b-2-5p	mir-550b-2,mir-550b-1
miR-550b-3p	mir-550b-2,mir-550b-1
miR-548o-5p	mir-548o-2
miR-4423-5p	mir-4423
miR-4423-3p	mir-4423
miR-548ad-5p	mir-548ad
miR-548ad-3p	mir-548ad
miR-4433a-5p	mir-4433a
miR-4433a-3p	mir-4433a
miR-548ae-3p	mir-548ae-1,mir-548ae-2
miR-548ae-5p	mir-548ae-2
miR-4445-5p	mir-4445
miR-4445-3p	mir-4445
miR-4446-5p	mir-4446
miR-4446-3p	mir-4446
miR-548ah-5p	mir-548ah
miR-548ah-3p	mir-548ah
miR-548aj-3p	mir-548aj-1,mir-548aj-2
miR-548aj-5p	mir-548aj-2
miR-4474-5p	mir-4474
miR-4474-3p	mir-4474
miR-4482-5p	mir-4482
miR-4482-3p	mir-4482
miR-4485-5p	mir-4485
miR-4485-3p	mir-4485
miR-4520-5p	mir-4520-2,mir-4520-1
miR-4520-3p	mir-4520-1
miR-4524a-5p	mir-4524a
miR-4524a-3p	mir-4524a
miR-4529-5p	mir-4529
miR-4529-3p	mir-4529
miR-548am-5p	mir-548am
miR-548am-3p	mir-548am
miR-4536-5p	mir-4536-1,mir-4536-2
miR-4536-3p	mir-4536-1,mir-4536-2
miR-4632-5p	mir-4632
miR-4632-3p	mir-4632
miR-4633-5p	mir-4633
miR-4633-3p	mir-4633
miR-4638-5p	mir-4638
miR-4638-3p	mir-4638
miR-4639-5p	mir-4639
miR-4639-3p	mir-4639
miR-4640-5p	mir-4640
miR-4640-3p	mir-4640
miR-4645-5p	mir-4645
miR-4645-3p	mir-4645
miR-4646-5p	mir-4646
miR-4646-3p	mir-4646
miR-4649-5p	mir-4649
miR-4649-3p	mir-4649
miR-4650-5p	mir-4650-2,mir-4650-1
miR-4650-3p	mir-4650-2,mir-4650-1
miR-4652-5p	mir-4652
miR-4652-3p	mir-4652
miR-4653-5p	mir-4653
miR-4653-3p	mir-4653
miR-4655-5p	mir-4655
miR-4655-3p	mir-4655
miR-4659a-5p	mir-4659a
miR-4659a-3p	mir-4659a
miR-4661-5p	mir-4661
miR-4661-3p	mir-4661
miR-4662a-5p	mir-4662a
miR-4662a-3p	mir-4662a
miR-4659b-5p	mir-4659b
miR-4659b-3p	mir-4659b
miR-4664-5p	mir-4664
miR-4664-3p	mir-4664
miR-4665-5p	mir-4665
miR-4665-3p	mir-4665
miR-4666a-5p	mir-4666a
miR-4666a-3p	mir-4666a
miR-4667-5p	mir-4667
miR-4667-3p	mir-4667
miR-4668-5p	mir-4668
miR-4668-3p	mir-4668
miR-219b-5p	mir-219b
miR-219b-3p	mir-219b
miR-4670-5p	mir-4670
miR-4670-3p	mir-4670
miR-4671-5p	mir-4671
miR-4671-3p	mir-4671
miR-4676-5p	mir-4676
miR-4676-3p	mir-4676
miR-4677-5p	mir-4677
miR-4677-3p	mir-4677
miR-4680-5p	mir-4680
miR-4680-3p	mir-4680
miR-4684-5p	mir-4684
miR-4684-3p	mir-4684
miR-4685-5p	mir-4685
miR-4685-3p	mir-4685
miR-4687-5p	mir-4687
miR-4687-3p	mir-4687
miR-1343-5p	mir-1343
miR-1343-3p	mir-1343
miR-4690-5p	mir-4690
miR-4690-3p	mir-4690
miR-4691-5p	mir-4691
miR-4691-3p	mir-4691
miR-4693-5p	mir-4693
miR-4693-3p	mir-4693
miR-4694-5p	mir-4694
miR-4694-3p	mir-4694
miR-4695-5p	mir-4695
miR-4695-3p	mir-4695
miR-4697-5p	mir-4697
miR-4697-3p	mir-4697
miR-4699-5p	mir-4699
miR-4699-3p	mir-4699
miR-4700-5p	mir-4700
miR-4700-3p	mir-4700
miR-4701-5p	mir-4701
miR-4701-3p	mir-4701
miR-4703-5p	mir-4703
miR-4703-3p	mir-4703
miR-4704-5p	mir-4704
miR-4704-3p	mir-4704
miR-4707-5p	mir-4707
miR-4707-3p	mir-4707
miR-4708-5p	mir-4708
miR-4708-3p	mir-4708
miR-4709-5p	mir-4709
miR-4709-3p	mir-4709
miR-203b-5p	mir-203b
miR-203b-3p	mir-203b
miR-4711-5p	mir-4711
miR-4711-3p	mir-4711
miR-4712-5p	mir-4712
miR-4712-3p	mir-4712
miR-4713-5p	mir-4713
miR-4713-3p	mir-4713
miR-4714-5p	mir-4714
miR-4714-3p	mir-4714
miR-4715-5p	mir-4715
miR-4715-3p	mir-4715
miR-4716-5p	mir-4716
miR-4716-3p	mir-4716
miR-3529-5p	mir-3529
miR-3529-3p	mir-3529
miR-4717-5p	mir-4717
miR-4717-3p	mir-4717
miR-4720-5p	mir-4720
miR-4720-3p	mir-4720
miR-4722-5p	mir-4722
miR-4722-3p	mir-4722
miR-4520-2-3p	mir-4520-2
miR-4723-5p	mir-4723
miR-4723-3p	mir-4723
miR-4724-5p	mir-4724
miR-4724-3p	mir-4724
miR-4725-5p	mir-4725
miR-4725-3p	mir-4725
miR-4726-5p	mir-4726
miR-4726-3p	mir-4726
miR-4727-5p	mir-4727
miR-4727-3p	mir-4727
miR-4728-5p	mir-4728
miR-4728-3p	mir-4728
miR-4731-5p	mir-4731
miR-4731-3p	mir-4731
miR-4732-5p	mir-4732
miR-4732-3p	mir-4732
miR-4733-5p	mir-4733
miR-4733-3p	mir-4733
miR-4735-5p	mir-4735
miR-4735-3p	mir-4735
miR-3064-5p	mir-3064
miR-3064-3p	mir-3064
miR-4738-5p	mir-4738
miR-4738-3p	mir-4738
miR-4740-5p	mir-4740
miR-4740-3p	mir-4740
miR-4742-5p	mir-4742
miR-4742-3p	mir-4742
miR-4743-5p	mir-4743
miR-4743-3p	mir-4743
miR-122b-5p	mir-122b
miR-122b-3p	mir-122b
miR-4745-5p	mir-4745
miR-4745-3p	mir-4745
miR-4746-5p	mir-4746
miR-4746-3p	mir-4746
miR-4747-5p	mir-4747
miR-4747-3p	mir-4747
miR-4749-5p	mir-4749
miR-4749-3p	mir-4749
miR-4750-5p	mir-4750
miR-4750-3p	mir-4750
miR-4753-5p	mir-4753
miR-4753-3p	mir-4753
miR-371b-5p	mir-371b
miR-371b-3p	mir-371b
miR-4755-5p	mir-4755
miR-4755-3p	mir-4755
miR-499b-5p	mir-499b
miR-499b-3p	mir-499b
miR-4756-5p	mir-4756
miR-4756-3p	mir-4756
miR-4757-5p	mir-4757
miR-4757-3p	mir-4757
miR-4758-5p	mir-4758
miR-4758-3p	mir-4758
miR-4760-5p	mir-4760
miR-4760-3p	mir-4760
miR-4761-5p	mir-4761
miR-4761-3p	mir-4761
miR-4762-5p	mir-4762
miR-4762-3p	mir-4762
miR-4763-5p	mir-4763
miR-4763-3p	mir-4763
miR-4764-5p	mir-4764
miR-4764-3p	mir-4764
miR-4766-5p	mir-4766
miR-4766-3p	mir-4766
miR-4768-5p	mir-4768
miR-4768-3p	mir-4768
miR-4769-5p	mir-4769
miR-4769-3p	mir-4769
miR-4772-5p	mir-4772
miR-4772-3p	mir-4772
miR-4774-5p	mir-4774
miR-4774-3p	mir-4774
miR-4776-5p	mir-4776-2,mir-4776-1
miR-4776-3p	mir-4776-2,mir-4776-1
miR-4777-5p	mir-4777
miR-4777-3p	mir-4777
miR-4778-5p	mir-4778
miR-4778-3p	mir-4778
miR-4436b-5p	mir-4436b-2,mir-4436b-1
miR-4436b-3p	mir-4436b-2,mir-4436b-1
miR-4781-5p	mir-4781
miR-4781-3p	mir-4781
miR-4782-5p	mir-4782
miR-4782-3p	mir-4782
miR-4783-5p	mir-4783
miR-4783-3p	mir-4783
miR-1245b-5p	mir-1245b
miR-1245b-3p	mir-1245b
miR-2467-5p	mir-2467
miR-2467-3p	mir-2467
miR-4786-5p	mir-4786
miR-4786-3p	mir-4786
miR-4787-5p	mir-4787
miR-4787-3p	mir-4787
miR-4789-5p	mir-4789
miR-4789-3p	mir-4789
miR-4790-5p	mir-4790
miR-4790-3p	mir-4790
miR-4793-5p	mir-4793
miR-4793-3p	mir-4793
miR-4795-5p	mir-4795
miR-4795-3p	mir-4795
miR-4796-5p	mir-4796
miR-4796-3p	mir-4796
miR-4797-5p	mir-4797
miR-4797-3p	mir-4797
miR-4798-5p	mir-4798
miR-4798-3p	mir-4798
miR-4799-5p	mir-4799
miR-4799-3p	mir-4799
miR-4800-5p	mir-4800
miR-4800-3p	mir-4800
miR-4802-5p	mir-4802
miR-4802-3p	mir-4802
miR-4804-5p	mir-4804
miR-4804-3p	mir-4804
miR-4999-5p	mir-4999
miR-4999-3p	mir-4999
miR-5000-5p	mir-5000
miR-5000-3p	mir-5000
miR-5001-5p	mir-5001
miR-5001-3p	mir-5001
miR-5002-5p	mir-5002
miR-5002-3p	mir-5002
miR-5003-5p	mir-5003
miR-5003-3p	mir-5003
miR-5004-5p	mir-5004
miR-5004-3p	mir-5004
miR-548ao-5p	mir-548ao
miR-548ao-3p	mir-548ao
miR-5006-5p	mir-5006
miR-5006-3p	mir-5006
miR-5007-5p	mir-5007
miR-5007-3p	mir-5007
miR-548ap-5p	mir-548ap
miR-548ap-3p	mir-548ap
miR-5008-5p	mir-5008
miR-5008-3p	mir-5008
miR-5009-5p	mir-5009
miR-5009-3p	mir-5009
miR-5010-5p	mir-5010
miR-5010-3p	mir-5010
miR-5011-5p	mir-5011
miR-5011-3p	mir-5011
miR-5088-5p	mir-5088
miR-5088-3p	mir-5088
miR-5089-5p	mir-5089
miR-5089-3p	mir-5089
miR-5187-5p	mir-5187
miR-5187-3p	mir-5187
miR-5189-5p	mir-5189
miR-5189-3p	mir-5189
miR-5195-5p	mir-5195
miR-5195-3p	mir-5195
miR-5196-5p	mir-5196
miR-5196-3p	mir-5196
miR-5197-5p	mir-5197
miR-5197-3p	mir-5197
miR-4524b-5p	mir-4524b
miR-4524b-3p	mir-4524b
miR-5571-5p	mir-5571
miR-5571-3p	mir-5571
miR-548aq-5p	mir-548aq
miR-548aq-3p	mir-548aq
miR-548ar-5p	mir-548ar
miR-548ar-3p	mir-548ar
miR-548as-5p	mir-548as
miR-548as-3p	mir-548as
miR-5579-5p	mir-5579
miR-5579-3p	mir-5579
miR-664b-5p	mir-664b
miR-664b-3p	mir-664b
miR-5580-5p	mir-5580
miR-5580-3p	mir-5580
miR-5581-5p	mir-5581
miR-5581-3p	mir-5581
miR-548at-5p	mir-548at
miR-548at-3p	mir-548at
miR-5582-5p	mir-5582
miR-5582-3p	mir-5582
miR-5583-5p	mir-5583-2,mir-5583-1
miR-5583-3p	mir-5583-2,mir-5583-1
miR-5584-5p	mir-5584
miR-5584-3p	mir-5584
miR-5585-5p	mir-5585
miR-5585-3p	mir-5585
miR-5586-5p	mir-5586
miR-5586-3p	mir-5586
miR-5587-5p	mir-5587
miR-5587-3p	mir-5587
miR-548au-5p	mir-548au
miR-548au-3p	mir-548au
miR-1295b-5p	mir-1295b
miR-1295b-3p	mir-1295b
miR-5588-5p	mir-5588
miR-5588-3p	mir-5588
miR-5589-5p	mir-5589
miR-5589-3p	mir-5589
miR-5590-5p	mir-5590
miR-5590-3p	mir-5590
miR-5591-5p	mir-5591
miR-5591-3p	mir-5591
miR-548av-5p	mir-548av
miR-548av-3p	mir-548av
miR-5699-5p	mir-5699
miR-5699-3p	mir-5699
miR-1199-5p	mir-1199
miR-1199-3p	mir-1199
miR-6499-5p	mir-6499
miR-6499-3p	mir-6499
miR-548ay-5p	mir-548ay
miR-548ay-3p	mir-548ay
miR-6500-5p	mir-6500
miR-6500-3p	mir-6500
miR-548az-5p	mir-548az
miR-548az-3p	mir-548az
miR-6501-5p	mir-6501
miR-6501-3p	mir-6501
miR-6502-5p	mir-6502
miR-6502-3p	mir-6502
miR-6503-5p	mir-6503
miR-6503-3p	mir-6503
miR-6504-5p	mir-6504
miR-6504-3p	mir-6504
miR-6505-5p	mir-6505
miR-6505-3p	mir-6505
miR-6506-5p	mir-6506
miR-6506-3p	mir-6506
miR-6507-5p	mir-6507
miR-6507-3p	mir-6507
miR-6508-5p	mir-6508
miR-6508-3p	mir-6508
miR-6509-5p	mir-6509
miR-6509-3p	mir-6509
miR-6510-5p	mir-6510
miR-6510-3p	mir-6510
miR-6511a-5p	mir-6511a-1,mir-6511a-3,mir-6511a-4,mir-6511a-2
miR-6511a-3p	mir-6511a-1,mir-6511a-3,mir-6511a-4,mir-6511a-2
miR-6512-5p	mir-6512
miR-6512-3p	mir-6512
miR-6513-5p	mir-6513
miR-6513-3p	mir-6513
miR-6514-5p	mir-6514
miR-6514-3p	mir-6514
miR-6515-5p	mir-6515
miR-6515-3p	mir-6515
miR-6715a-3p	mir-6715a
miR-6715b-5p	mir-6715b
miR-6715b-3p	mir-6715b
miR-6716-5p	mir-6716
miR-6716-3p	mir-6716
miR-6717-5p	mir-6717
miR-6511b-5p	mir-6511b-1,mir-6511b-2
miR-6511b-3p	mir-6511b-1,mir-6511b-2
miR-6718-5p	mir-6718
miR-6719-3p	mir-6719
miR-6720-5p	mir-6720
miR-6720-3p	mir-6720
miR-6721-5p	mir-6721
miR-6722-5p	mir-6722
miR-6722-3p	mir-6722
miR-6724-5p	mir-6724-1,mir-6724-4,mir-6724-2,mir-6724-3
miR-892c-5p	mir-892c
miR-892c-3p	mir-892c
miR-6726-5p	mir-6726
miR-6726-3p	mir-6726
miR-6727-5p	mir-6727
miR-6727-3p	mir-6727
miR-6728-5p	mir-6728
miR-6728-3p	mir-6728
miR-6729-5p	mir-6729
miR-6729-3p	mir-6729
miR-6730-5p	mir-6730
miR-6730-3p	mir-6730
miR-6731-5p	mir-6731
miR-6731-3p	mir-6731
miR-6732-5p	mir-6732
miR-6732-3p	mir-6732
miR-6733-5p	mir-6733
miR-6733-3p	mir-6733
miR-6734-5p	mir-6734
miR-6734-3p	mir-6734
miR-6735-5p	mir-6735
miR-6735-3p	mir-6735
miR-6736-5p	mir-6736
miR-6736-3p	mir-6736
miR-6737-5p	mir-6737
miR-6737-3p	mir-6737
miR-6738-5p	mir-6738
miR-6738-3p	mir-6738
miR-6739-5p	mir-6739
miR-6739-3p	mir-6739
miR-6740-5p	mir-6740
miR-6740-3p	mir-6740
miR-6741-5p	mir-6741
miR-6741-3p	mir-6741
miR-6742-5p	mir-6742
miR-6742-3p	mir-6742
miR-6743-5p	mir-6743
miR-6743-3p	mir-6743
miR-6744-5p	mir-6744
miR-6744-3p	mir-6744
miR-6746-5p	mir-6746
miR-6746-3p	mir-6746
miR-6747-5p	mir-6747
miR-6747-3p	mir-6747
miR-6748-5p	mir-6748
miR-6748-3p	mir-6748
miR-6749-5p	mir-6749
miR-6749-3p	mir-6749
miR-6750-5p	mir-6750
miR-6750-3p	mir-6750
miR-6751-5p	mir-6751
miR-6751-3p	mir-6751
miR-6752-5p	mir-6752
miR-6752-3p	mir-6752
miR-6753-5p	mir-6753
miR-6753-3p	mir-6753
miR-6754-5p	mir-6754
miR-6754-3p	mir-6754
miR-6755-5p	mir-6755
miR-6755-3p	mir-6755
miR-6756-5p	mir-6756
miR-6756-3p	mir-6756
miR-6757-5p	mir-6757
miR-6757-3p	mir-6757
miR-6758-5p	mir-6758
miR-6758-3p	mir-6758
miR-6759-5p	mir-6759
miR-6759-3p	mir-6759
miR-6760-5p	mir-6760
miR-6760-3p	mir-6760
miR-6761-5p	mir-6761
miR-6761-3p	mir-6761
miR-6762-5p	mir-6762
miR-6762-3p	mir-6762
miR-6763-5p	mir-6763
miR-6763-3p	mir-6763
miR-6764-5p	mir-6764
miR-6764-3p	mir-6764
miR-6765-5p	mir-6765
miR-6765-3p	mir-6765
miR-6766-5p	mir-6766
miR-6766-3p	mir-6766
miR-6767-5p	mir-6767
miR-6767-3p	mir-6767
miR-6768-5p	mir-6768
miR-6768-3p	mir-6768
miR-6769a-5p	mir-6769a
miR-6769a-3p	mir-6769a
miR-6770-5p	mir-6770-3,mir-6770-2,mir-6770-1
miR-6770-3p	mir-6770-3,mir-6770-2,mir-6770-1
miR-6771-5p	mir-6771
miR-6771-3p	mir-6771
miR-6772-5p	mir-6772
miR-6772-3p	mir-6772
miR-6773-5p	mir-6773
miR-6773-3p	mir-6773
miR-6774-5p	mir-6774
miR-6774-3p	mir-6774
miR-6775-5p	mir-6775
miR-6775-3p	mir-6775
miR-6776-5p	mir-6776
miR-6776-3p	mir-6776
miR-6777-5p	mir-6777
miR-6777-3p	mir-6777
miR-6778-5p	mir-6778
miR-6778-3p	mir-6778
miR-6779-5p	mir-6779
miR-6779-3p	mir-6779
miR-6780a-5p	mir-6780a
miR-6780a-3p	mir-6780a
miR-6781-5p	mir-6781
miR-6781-3p	mir-6781
miR-6782-5p	mir-6782
miR-6782-3p	mir-6782
miR-6783-5p	mir-6783
miR-6783-3p	mir-6783
miR-6784-5p	mir-6784
miR-6784-3p	mir-6784
miR-6785-5p	mir-6785
miR-6785-3p	mir-6785
miR-6786-5p	mir-6786
miR-6786-3p	mir-6786
miR-6787-5p	mir-6787
miR-6787-3p	mir-6787
miR-6788-5p	mir-6788
miR-6788-3p	mir-6788
miR-6789-5p	mir-6789
miR-6789-3p	mir-6789
miR-6790-5p	mir-6790
miR-6790-3p	mir-6790
miR-6791-5p	mir-6791
miR-6791-3p	mir-6791
miR-6792-5p	mir-6792
miR-6792-3p	mir-6792
miR-6793-5p	mir-6793
miR-6793-3p	mir-6793
miR-6794-5p	mir-6794
miR-6794-3p	mir-6794
miR-6795-5p	mir-6795
miR-6795-3p	mir-6795
miR-6796-5p	mir-6796
miR-6796-3p	mir-6796
miR-6797-5p	mir-6797
miR-6797-3p	mir-6797
miR-6798-5p	mir-6798
miR-6798-3p	mir-6798
miR-6799-5p	mir-6799
miR-6799-3p	mir-6799
miR-6800-5p	mir-6800
miR-6800-3p	mir-6800
miR-6801-5p	mir-6801
miR-6801-3p	mir-6801
miR-6802-5p	mir-6802
miR-6802-3p	mir-6802
miR-6803-5p	mir-6803
miR-6803-3p	mir-6803
miR-6804-5p	mir-6804
miR-6804-3p	mir-6804
miR-6805-5p	mir-6805
miR-6805-3p	mir-6805
miR-6806-5p	mir-6806
miR-6806-3p	mir-6806
miR-6807-5p	mir-6807
miR-6807-3p	mir-6807
miR-6808-5p	mir-6808
miR-6808-3p	mir-6808
miR-6809-5p	mir-6809
miR-6809-3p	mir-6809
miR-6810-5p	mir-6810
miR-6810-3p	mir-6810
miR-6811-5p	mir-6811
miR-6811-3p	mir-6811
miR-6812-5p	mir-6812
miR-6812-3p	mir-6812
miR-6813-5p	mir-6813
miR-6813-3p	mir-6813
miR-6814-5p	mir-6814
miR-6814-3p	mir-6814
miR-6815-5p	mir-6815
miR-6815-3p	mir-6815
miR-6816-5p	mir-6816
miR-6816-3p	mir-6816
miR-6817-5p	mir-6817
miR-6817-3p	mir-6817
miR-6818-5p	mir-6818
miR-6818-3p	mir-6818
miR-6819-5p	mir-6819
miR-6819-3p	mir-6819
miR-6820-5p	mir-6820
miR-6820-3p	mir-6820
miR-6821-5p	mir-6821
miR-6821-3p	mir-6821
miR-6822-5p	mir-6822
miR-6822-3p	mir-6822
miR-6823-5p	mir-6823
miR-6823-3p	mir-6823
miR-6824-5p	mir-6824
miR-6824-3p	mir-6824
miR-6825-5p	mir-6825
miR-6825-3p	mir-6825
miR-6826-5p	mir-6826
miR-6826-3p	mir-6826
miR-6827-5p	mir-6827
miR-6827-3p	mir-6827
miR-6828-5p	mir-6828
miR-6828-3p	mir-6828
miR-6829-5p	mir-6829
miR-6829-3p	mir-6829
miR-6830-5p	mir-6830
miR-6830-3p	mir-6830
miR-6831-5p	mir-6831
miR-6831-3p	mir-6831
miR-6832-5p	mir-6832
miR-6832-3p	mir-6832
miR-6833-5p	mir-6833
miR-6833-3p	mir-6833
miR-6834-5p	mir-6834
miR-6834-3p	mir-6834
miR-6835-5p	mir-6835
miR-6835-3p	mir-6835
miR-6780b-5p	mir-6780b
miR-6780b-3p	mir-6780b
miR-6836-5p	mir-6836
miR-6836-3p	mir-6836
miR-6837-5p	mir-6837
miR-6837-3p	mir-6837
miR-6838-5p	mir-6838
miR-6838-3p	mir-6838
miR-6839-5p	mir-6839
miR-6839-3p	mir-6839
miR-6840-5p	mir-6840
miR-6840-3p	mir-6840
miR-6841-5p	mir-6841
miR-6841-3p	mir-6841
miR-6842-5p	mir-6842
miR-6842-3p	mir-6842
miR-6843-3p	mir-6843
miR-6845-5p	mir-6845
miR-6845-3p	mir-6845
miR-6846-5p	mir-6846
miR-6846-3p	mir-6846
miR-6847-5p	mir-6847
miR-6847-3p	mir-6847
miR-6848-5p	mir-6848
miR-6848-3p	mir-6848
miR-6849-5p	mir-6849
miR-6849-3p	mir-6849
miR-6850-5p	mir-6850
miR-6850-3p	mir-6850
miR-6851-5p	mir-6851
miR-6851-3p	mir-6851
miR-6852-5p	mir-6852
miR-6852-3p	mir-6852
miR-6853-5p	mir-6853
miR-6853-3p	mir-6853
miR-6854-5p	mir-6854
miR-6854-3p	mir-6854
miR-6855-5p	mir-6855
miR-6855-3p	mir-6855
miR-6856-5p	mir-6856
miR-6856-3p	mir-6856
miR-6857-5p	mir-6857
miR-6857-3p	mir-6857
miR-6858-5p	mir-6858
miR-6858-3p	mir-6858
miR-6859-5p	mir-6859-2,mir-6859-4,mir-6859-3,mir-6859-1
miR-6859-3p	mir-6859-2,mir-6859-4,mir-6859-3,mir-6859-1
miR-6769b-5p	mir-6769b
miR-6769b-3p	mir-6769b
miR-6861-5p	mir-6861
miR-6861-3p	mir-6861
miR-6862-5p	mir-6862-1,mir-6862-2
miR-6862-3p	mir-6862-1,mir-6862-2
miR-6864-5p	mir-6864
miR-6864-3p	mir-6864
miR-6865-5p	mir-6865
miR-6865-3p	mir-6865
miR-6866-5p	mir-6866
miR-6866-3p	mir-6866
miR-6867-5p	mir-6867
miR-6867-3p	mir-6867
miR-6868-5p	mir-6868
miR-6868-3p	mir-6868
miR-6869-5p	mir-6869
miR-6869-3p	mir-6869
miR-6870-5p	mir-6870
miR-6870-3p	mir-6870
miR-6871-5p	mir-6871
miR-6871-3p	mir-6871
miR-6872-5p	mir-6872
miR-6872-3p	mir-6872
miR-6873-5p	mir-6873
miR-6873-3p	mir-6873
miR-6874-5p	mir-6874
miR-6874-3p	mir-6874
miR-6875-5p	mir-6875
miR-6875-3p	mir-6875
miR-6876-5p	mir-6876
miR-6876-3p	mir-6876
miR-6877-5p	mir-6877
miR-6877-3p	mir-6877
miR-6878-5p	mir-6878
miR-6878-3p	mir-6878
miR-6879-5p	mir-6879
miR-6879-3p	mir-6879
miR-6880-5p	mir-6880
miR-6880-3p	mir-6880
miR-6881-5p	mir-6881
miR-6881-3p	mir-6881
miR-6882-5p	mir-6882
miR-6882-3p	mir-6882
miR-6883-5p	mir-6883
miR-6883-3p	mir-6883
miR-6884-5p	mir-6884
miR-6884-3p	mir-6884
miR-6885-5p	mir-6885
miR-6885-3p	mir-6885
miR-6886-5p	mir-6886
miR-6886-3p	mir-6886
miR-6887-5p	mir-6887
miR-6887-3p	mir-6887
miR-6888-5p	mir-6888
miR-6888-3p	mir-6888
miR-6889-5p	mir-6889
miR-6889-3p	mir-6889
miR-6890-5p	mir-6890
miR-6890-3p	mir-6890
miR-6891-5p	mir-6891
miR-6891-3p	mir-6891
miR-6892-5p	mir-6892
miR-6892-3p	mir-6892
miR-6893-5p	mir-6893
miR-6893-3p	mir-6893
miR-6894-5p	mir-6894
miR-6894-3p	mir-6894
miR-6895-5p	mir-6895
miR-6895-3p	mir-6895
miR-7106-5p	mir-7106
miR-7106-3p	mir-7106
miR-7107-5p	mir-7107
miR-7107-3p	mir-7107
miR-7108-5p	mir-7108
miR-7108-3p	mir-7108
miR-7109-5p	mir-7109
miR-7109-3p	mir-7109
miR-7110-5p	mir-7110
miR-7110-3p	mir-7110
miR-7111-5p	mir-7111
miR-7111-3p	mir-7111
miR-7112-5p	mir-7112
miR-7112-3p	mir-7112
miR-7113-5p	mir-7113
miR-7113-3p	mir-7113
miR-7114-5p	mir-7114
miR-7114-3p	mir-7114
miR-7151-5p	mir-7151
miR-7151-3p	mir-7151
miR-7152-5p	mir-7152
miR-7152-3p	mir-7152
miR-7153-5p	mir-7153
miR-7153-3p	mir-7153
miR-7154-5p	mir-7154
miR-7154-3p	mir-7154
miR-7155-5p	mir-7155
miR-7155-3p	mir-7155
miR-7156-5p	mir-7156
miR-7156-3p	mir-7156
miR-7157-5p	mir-7157
miR-7157-3p	mir-7157
miR-7158-5p	mir-7158
miR-7158-3p	mir-7158
miR-7161-5p	mir-7161
miR-7161-3p	mir-7161
miR-7159-5p	mir-7159
miR-7159-3p	mir-7159
miR-7160-5p	mir-7160
miR-7160-3p	mir-7160
miR-7162-5p	mir-7162
miR-7162-3p	mir-7162
miR-7843-5p	mir-7843
miR-7843-3p	mir-7843
miR-4433b-5p	mir-4433b
miR-4433b-3p	mir-4433b
miR-1273h-5p	mir-1273h
miR-1273h-3p	mir-1273h
miR-6516-5p	mir-6516
miR-6516-3p	mir-6516
miR-7844-5p	mir-7844
miR-7845-5p	mir-7845
miR-7846-3p	mir-7846
miR-7847-3p	mir-7847
miR-7848-3p	mir-7848
miR-7849-3p	mir-7849
miR-7850-5p	mir-7850
miR-7851-3p	mir-7851
miR-7852-3p	mir-7852
miR-7853-5p	mir-7853
miR-7854-3p	mir-7854
miR-7855-5p	mir-7855
miR-7856-5p	mir-7856
miR-548bb-5p	mir-548bb
miR-548bb-3p	mir-548bb
miR-10392-5p	mir-10392
miR-10392-3p	mir-10392
miR-10393-5p	mir-10393
miR-10393-3p	mir-10393
miR-10394-5p	mir-10394
miR-10394-3p	mir-10394
miR-10395-5p	mir-10395
miR-10395-3p	mir-10395
miR-10396a-5p	mir-10396a
miR-10396a-3p	mir-10396a
