miRNA	precursor
miR-137-3p	mir-137
miR-138-5p	mir-138-2,mir-138-1
miR-138-2-3p	mir-138-2
miR-140-5p	mir-140
miR-140-3p	mir-140
miR-141-5p	mir-141
miR-141-3p	mir-141
miR-142-5p	mir-142
miR-142-3p	mir-142
miR-143-5p	mir-143
miR-143-3p	mir-143
miR-144-5p	mir-144
miR-144-3p	mir-144
miR-145-5p	mir-145
miR-145-3p	mir-145
miR-152-5p	mir-152
miR-152-3p	mir-152
miR-153-3p	mir-153-2,mir-153-1
miR-153-5p	mir-153-2
miR-191-5p	mir-191
miR-191-3p	mir-191
miR-9-5p	mir-9-3,mir-9-1,mir-9-2
miR-9-3p	mir-9-3,mir-9-1,mir-9-2
miR-125a-5p	mir-125a
miR-125a-3p	mir-125a
miR-125b-2-3p	mir-125b-2
miR-126-5p	mir-126
miR-126-3p	mir-126
miR-127-5p	mir-127
miR-127-3p	mir-127
miR-129-2-3p	mir-129-2
miR-134-5p	mir-134
miR-134-3p	mir-134
miR-136-5p	mir-136
miR-136-3p	mir-136
miR-138-1-3p	mir-138-1
miR-146a-5p	mir-146a
miR-146a-3p	mir-146a
miR-149-5p	mir-149
miR-149-3p	mir-149
miR-150-5p	mir-150
miR-150-3p	mir-150
miR-154-5p	mir-154
miR-154-3p	mir-154
miR-185-5p	mir-185
miR-185-3p	mir-185
miR-186-5p	mir-186
miR-186-3p	mir-186
miR-188-5p	mir-188
miR-188-3p	mir-188
miR-190a-5p	mir-190a
miR-190a-3p	mir-190a
miR-193a-5p	mir-193a
miR-193a-3p	mir-193a
miR-194-5p	mir-194-2,mir-194-1
miR-195-5p	mir-195
miR-195-3p	mir-195
miR-320a-5p	mir-320a
miR-320a-3p	mir-320a
miR-200c-5p	mir-200c
miR-200c-3p	mir-200c
miR-1-5p	mir-1-1
miR-155-5p	mir-155
miR-155-3p	mir-155
miR-181b-2-3p	mir-181b-2
miR-128-2-5p	mir-128-2
miR-194-3p	mir-194-2
miR-106b-5p	mir-106b
miR-106b-3p	mir-106b
miR-29c-5p	mir-29c
miR-29c-3p	mir-29c
miR-30c-1-3p	mir-30c-1
miR-200a-5p	mir-200a
miR-200a-3p	mir-200a
miR-302a-5p	mir-302a
